#---
#---EXFOR Standard Output---
#=============================================================================
#DATASET        O0851002 
#NOW            2022/03/23:15:09:21
#SUBENT         O0851002   20030501
#ENTRY          O0851      20030501
#AUTHOR1        M.Chiari+
#YEAR           2001
#X4REF1         J,NIM/B,174,259,2001
#REFERENCE1     Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.174, p.259 (2001)
#REACTION       13-AL-27(P,EL)13-AL-27,,DA
#D4REAC         R0#
#C4Reaction     (P,EL),DA
#ReactionType   DA
#Quantity       Differential c/s with respect to angle
#IndVarFamCode  [0 2 4      ]
#ExpectedUnits  [B/SR]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        9
#HEADER         7           9           12
!DATA        ERR-T       ERR-S       ERR-1       ERR-2       ERR-3       EN          EN-ERR      ANG         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    MEV         KEV         ADEG        
!Y.Value     Y.Err+-     Y.sErr+-    Y.pErr+-    Y.pErr+-    Y.pErr+-    X1.Value    X1.Err+-    X2.Value    
!0.1         0.911       0.944       0.955       0.955       0.955       1.1         1.911       2.1         
!variable    const       const       const       const       const       variable    const       variable    
!1.0         1.0         1.0         1.0         1.0         1.0         1000000.0   1000.0      1.0         
!B/SR        PER-CENT    PER-CENT    PER-CENT    PER-CENT    PER-CENT    EV          EV          ADEG        
#DATA           2512        9           12
 0.275       2.5         1.          1.          0.5         0.5         1.003       3.          140.        
 0.261       2.5         1.          1.          0.5         0.5         1.003       3.          145.        
 0.251       2.5         1.          1.          0.5         0.5         1.003       3.          150.        
 0.237       2.5         1.          1.          0.5         0.5         1.003       3.          155.        
 0.229       2.5         1.          1.          0.5         0.5         1.003       3.          160.        
 0.22        2.5         1.          1.          0.5         0.5         1.003       3.          165.        
 0.219       2.5         1.          1.          0.5         0.5         1.003       3.          170.        
 0.609       2.5         1.          1.          0.5         0.5         1.027       3.          100.        
 0.525       2.5         1.          1.          0.5         0.5         1.027       3.          105.        
 0.474       2.5         1.          1.          0.5         0.5         1.027       3.          110.        
 0.415       2.5         1.          1.          0.5         0.5         1.027       3.          115.        
 0.375       2.5         1.          1.          0.5         0.5         1.027       3.          120.        
 0.35        2.5         1.          1.          0.5         0.5         1.027       3.          125.        
 0.312       2.5         1.          1.          0.5         0.5         1.027       3.          130.        
 0.293       2.5         1.          1.          0.5         0.5         1.027       3.          135.        
 0.275       2.5         1.          1.          0.5         0.5         1.027       3.          140.        
 0.254       2.5         1.          1.          0.5         0.5         1.027       3.          145.        
 0.242       2.5         1.          1.          0.5         0.5         1.027       3.          150.        
 0.233       2.5         1.          1.          0.5         0.5         1.027       3.          155.        
 0.225       2.5         1.          1.          0.5         0.5         1.027       3.          160.        
 0.219       2.5         1.          1.          0.5         0.5         1.027       3.          165.        
 0.214       2.5         1.          1.          0.5         0.5         1.027       3.          170.        
 0.586       2.5         1.          1.          0.5         0.5         1.052       3.          100.        
 0.503       2.5         1.          1.          0.5         0.5         1.052       3.          105.        
 0.446       2.5         1.          1.          0.5         0.5         1.052       3.          110.        
 0.393       2.5         1.          1.          0.5         0.5         1.052       3.          115.        
 0.351       2.5         1.          1.          0.5         0.5         1.052       3.          120.        
 0.331       2.5         1.          1.          0.5         0.5         1.052       3.          125.        
 0.296       2.5         1.          1.          0.5         0.5         1.052       3.          130.        
 0.275       2.5         1.          1.          0.5         0.5         1.052       3.          135.        
 0.253       2.5         1.          1.          0.5         0.5         1.052       3.          140.        
 0.241       2.5         1.          1.          0.5         0.5         1.052       3.          145.        
 0.23        2.5         1.          1.          0.5         0.5         1.052       3.          150.        
 0.223       2.5         1.          1.          0.5         0.5         1.052       3.          155.        
 0.211       2.5         1.          1.          0.5         0.5         1.052       3.          160.        
 0.205       2.5         1.          1.          0.5         0.5         1.052       3.          165.        
 0.205       2.5         1.          1.          0.5         0.5         1.052       3.          170.        
 0.562       2.5         1.          1.          0.5         0.5         1.076       3.          100.        
 0.488       2.5         1.          1.          0.5         0.5         1.076       3.          105.        
 0.431       2.5         1.          1.          0.5         0.5         1.076       3.          110.        
 0.374       2.5         1.          1.          0.5         0.5         1.076       3.          115.        
 0.339       2.5         1.          1.          0.5         0.5         1.076       3.          120.        
 0.304       2.5         1.          1.          0.5         0.5         1.076       3.          125.        
 0.283       2.5         1.          1.          0.5         0.5         1.076       3.          130.        
 0.261       2.5         1.          1.          0.5         0.5         1.076       3.          135.        
 0.242       2.5         1.          1.          0.5         0.5         1.076       3.          140.        
 0.228       2.5         1.          1.          0.5         0.5         1.076       3.          145.        
 0.219       2.5         1.          1.          0.5         0.5         1.076       3.          150.        
 0.211       2.5         1.          1.          0.5         0.5         1.076       3.          155.        
 0.202       2.5         1.          1.          0.5         0.5         1.076       3.          160.        
 0.196       2.5         1.          1.          0.5         0.5         1.076       3.          165.        
 0.192       2.5         1.          1.          0.5         0.5         1.076       3.          170.        
 0.531       2.5         1.          1.          0.5         0.5         1.1         3.          100.        
 0.452       2.5         1.          1.          0.5         0.5         1.1         3.          105.        
 0.404       2.5         1.          1.          0.5         0.5         1.1         3.          110.        
 0.349       2.5         1.          1.          0.5         0.5         1.1         3.          115.        
 0.322       2.5         1.          1.          0.5         0.5         1.1         3.          120.        
 0.291       2.5         1.          1.          0.5         0.5         1.1         3.          125.        
 0.274       2.5         1.          1.          0.5         0.5         1.1         3.          130.        
 0.248       2.5         1.          1.          0.5         0.5         1.1         3.          135.        
 0.229       2.5         1.          1.          0.5         0.5         1.1         3.          140.        
 0.219       2.5         1.          1.          0.5         0.5         1.1         3.          145.        
 0.205       2.5         1.          1.          0.5         0.5         1.1         3.          150.        
