Theta	E
109.500000	1615.691750
109.500000	1607.695750
109.500000	1765.616750
109.500000	1592.703250
109.500000	1637.680750
109.500000	1583.707750
109.500000	1597.700750
109.500000	1672.663250
109.500000	1701.648750
109.500000	1628.685250
110.000000	1833.582750
110.000000	1771.613750
110.000000	1779.609750
110.000000	1615.691750
110.000000	1624.687250
110.000000	1590.704250
110.000000	1605.696750
110.000000	1599.699750
110.000000	1697.650750
110.500000	1831.583750
110.500000	1602.698250
110.500000	1616.691250
110.500000	1771.613750
110.500000	1780.609250
110.500000	1593.702750
110.500000	1584.707250
111.000000	1825.586750
111.000000	1609.694750
111.000000	1776.611250
111.000000	1601.698750
111.000000	1586.706250
111.000000	1762.618250
111.000000	1781.608750
111.000000	1700.649250
111.000000	1622.688250
111.000000	1693.652750
111.500000	1823.587750
111.500000	1602.698250
111.500000	1609.694750
111.500000	1628.685250
111.500000	1613.692750
111.500000	1774.612250
111.500000	1697.650750
112.000000	1827.585750
112.000000	1608.695250
112.000000	1691.653750
112.000000	1768.615250
112.000000	1701.648750
112.500000	1826.586250
112.500000	1604.697250
112.500000	1619.689750
112.500000	1705.646750
112.500000	1629.684750
112.500000	1780.609250
113.000000	1824.587250
113.000000	1603.697750
113.000000	1592.703250
113.000000	1765.616750
113.000000	1631.683750
113.500000	1823.587750
113.500000	1602.698250
113.500000	1695.651750
113.500000	1620.689250
113.500000	1593.702750
113.500000	1755.621750
113.500000	1774.612250
114.000000	1822.588250
114.000000	1601.698750
114.000000	1582.708250
114.500000	1823.587750
114.500000	1592.703250
114.500000	1612.693250
114.500000	1602.698250
114.500000	1581.708750
114.500000	1768.615250
115.000000	1822.588250
115.000000	1597.700750
115.000000	1700.649250
115.000000	1689.654750
115.000000	1622.688250
115.500000	1818.590250
115.500000	1599.699750
115.500000	1591.703750
115.500000	1684.657250
115.500000	1620.689250
115.500000	1695.651750
116.000000	1816.591250
116.000000	1586.706250
116.000000	1691.653750
116.000000	1597.700750
116.000000	1684.657250
116.000000	1673.662750
116.000000	1619.689750
116.500000	1818.590250
116.500000	1589.704750
116.500000	1595.701750
116.500000	1674.662250
116.500000	1611.693750
116.500000	1684.657250
117.000000	1818.590250
117.000000	1594.702250
117.000000	1588.705250
117.000000	1605.696750
117.000000	1687.655750
117.000000	1617.690750
117.500000	1816.591250
117.500000	1588.705250
117.500000	1684.657250
117.500000	1611.693750
118.000000	1815.591750
118.000000	1583.707750
118.000000	1594.702250
118.000000	1606.696250
118.000000	1683.657750
118.500000	1816.591250
118.500000	1592.703250
118.500000	1582.708250
118.500000	1675.661750
118.500000	1604.697250
119.000000	1815.591750
119.000000	1587.705750
119.000000	1580.709250
119.000000	1688.655250
119.000000	1679.659750
119.000000	1601.698750
119.500000	1812.593250
119.500000	1578.710250
119.500000	1592.703250
119.500000	1581.708750
119.500000	1681.658750
119.500000	1672.663250
119.500000	1563.717750
119.500000	1602.698250
